energy_per_atom,energy_above_hull,total_magnetization,spacegroup_number,crystal_system,HOMO_character,HOMO_energy,LUMO_character,LUMO_energy,gap_AO,MagpieData mean AtomicWeight,MagpieData mean CovalentRadius,vpa,gap_expt
-4.253843314166668,0.0,0.0,36,3,2,-0.261676,2,-0.261676,0.0,64.09523333333333,120.83333333333333,22.323334769806436,1.98
-3.890179734166665,0.000986133281251,0.0,36,3,2,-0.245806,2,-0.245806,0.0,87.54273333333333,128.33333333333334,25.763403471816385,0.9
-2.239733668571428,0.0,0.0,82,4,2,-0.267904,1,-0.205137,0.06276699999999996,131.99204,139.71428571428572,38.105296389400095,2.47
-3.860245978333331,0.0,0.0,224,7,3,-0.298706,1,-0.157407,0.14129900000000004,77.24526666666667,118.66666666666667,17.90703719814166,1.5
-17.033430883333335,0.00020682166666500002,0.0,14,2,2,-0.261676,1,-0.157407,0.10426900000000003,82.60046666666666,131.66666666666666,20.46312780069031,1.23
-14.856800679642857,0.0,0.0,15,2,2,-0.261676,2,-0.197497,0.06417900000000001,70.67445714285715,124.14285714285714,21.757523399174715,2.24
-3.686177482499999,0.0,0.035806899999999,62,3,2,-0.245806,2,-0.197497,0.04830899999999999,90.77231428571429,130.57142857142858,23.808144183282252,1.98
-16.474797739285712,0.0,0.0,14,2,2,-0.261676,2,-0.185623,0.07605300000000001,77.36565714285715,127.0,22.139312888720173,2.08
-3.52655774125,0.0,0.00023319999999900002,198,7,2,-0.245806,2,-0.245806,0.0,93.12564285714286,132.42857142857142,24.102899552890875,1.0
-3.806650973499999,0.0,1.1e-06,33,3,2,-0.261676,2,-0.261676,0.0,75.19837333333334,127.33333333333333,20.12587079445634,1.18
-18.974680610666667,0.0,0.0,31,3,2,-0.245806,2,-0.245806,0.0,97.02770666666667,134.6,23.283564435015197,0.71
-14.945477898499998,0.0,0.0,2,1,2,-0.261676,2,-0.261676,0.0,57.1186124,113.7,22.866623211222084,1.7
-4.319819855,0.0,0.0024487,148,5,2,-0.245806,2,-0.245806,0.0,85.25561239999999,122.7,28.33563741874547,1.4
-2.899292350000001,0.000270794999998,0.0,59,3,2,-0.295334,1,-0.157407,0.137927,93.8861,132.5,24.190051328832936,2.52
-14.322228025,0.000369929999999,0.0,59,3,3,-0.298706,1,-0.157407,0.14129900000000004,71.6606,123.5,21.302385658938856,5.13
-13.3635681,0.0,5e-07,225,7,3,-0.298706,1,-0.157407,0.14129900000000004,63.4333016,101.0,14.903030808491414,2.8
-2.651235045,0.0,0.0,186,6,2,-0.267904,1,-0.157407,0.11049699999999998,117.386335,142.0,33.55042861671155,3.02
-4.3380211074999995,0.0,0.0,131,4,3,-0.298706,3,-0.298706,0.0,61.9338,105.5,15.28025659537245,1.57
-5.832645002291667,0.0,0.0315529,15,2,3,-0.298706,3,-0.298706,0.0,33.98846666666667,85.66666666666667,12.834414773977022,0.18
-16.03267823125,0.0,0.0,15,2,2,-0.261676,2,-0.185623,0.07605300000000001,73.43955,123.5,24.208722921861963,1.9
-23.45730166125,0.000641469999997,0.0,62,3,2,-0.226594,2,-0.226594,0.0,117.7341,141.5,26.866796548905906,0.85
-8.750217892,0.0,0.0,9,2,2,-0.261676,2,-0.261676,0.0,30.031615439999996,111.4,21.781180719136238,4.1
-12.288599007,0.0,0.0,9,2,2,-0.245806,2,-0.245806,0.0,58.168615439999996,120.4,25.255345149639968,3.1
-18.50219873175,0.0,0.0,14,2,2,-0.226594,2,-0.226594,0.0,87.35261544,131.2,34.90483935567889,2.2
-6.425985976249988,0.0,0.0,194,6,3,-0.298706,1,-0.286883,0.011823000000000028,41.712134649999996,99.5,10.982290419398977,3.6
-11.94301553125,0.0,3e-07,122,4,2,-0.261676,2,-0.261676,0.0,49.74493465,119.0,21.179239311390234,3.13
-14.92098608625,0.0,0.0,122,4,2,-0.245806,2,-0.245806,0.0,73.19243465,126.5,24.595136817905296,2.55
-20.1698675125,0.0,0.0,122,4,2,-0.226594,2,-0.226594,0.0,97.51243464999999,135.5,30.632596953112365,1.8
-9.37487505,0.0,0.0,122,4,3,-0.202272,3,-0.202272,0.0,38.66438465,115.75,18.303457786728654,3.5
-17.52852994375,0.0,0.0,122,4,3,-0.202272,3,-0.202272,0.0,86.43188465,132.25,27.33909972939412,2.06
-9.6100966725,0.0,0.0,186,6,2,-0.266297,2,-0.266297,0.0,20.4941193,96.0,10.631820769545108,5.9
-8.604336105,0.0,0.0,216,7,2,-0.20608,2,-0.20608,0.0,28.9776503,114.0,20.491728962208988,3.62
-16.472182515,0.0,0.0,216,7,2,-0.185623,2,-0.185623,0.0,74.3707693,130.0,29.57590433007101,1.67
-27.829211324166668,0.0,0.0,14,2,2,-0.197497,2,-0.197497,0.0,114.02006666666666,126.33333333333333,17.677893413535852,1.0
