n_elements,mean_atomic_number,std_atomic_number,range_atomic_number,mean_electronegativity,std_electronegativity,range_electronegativity,mean_atomic_radius,std_atomic_radius,range_atomic_radius,frac_H,frac_Li,frac_C,frac_N,frac_O,frac_F,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_K,frac_Ca,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Zn,frac_Ga,frac_As,frac_Br,frac_Sr,frac_Nb,frac_Mo,e_form_per_atom,reduced_formula
2,38.0,25.0,50.0,1.405,0.20500000000000007,0.41000000000000014,1.7999999999999998,0.62,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2070670187500001,EuAl
3,19.652173913043477,17.6107889254982,44.0,2.724347826086957,0.9558234605368636,2.44,0.8969565217391304,0.5649273503319866,1.46,0.0,0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3116847768478266,Ca4Te5O14
4,9.285714285714286,8.827138117585948,24.0,1.8285714285714285,1.0550955078154038,2.46,1.3107142857142857,0.5269110020502824,1.19,0.0,0.5,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.876833581955,Li7Mn2(CoO4)3
3,24.5,6.06217782649107,14.0,1.9074999999999998,0.004330127018922197,0.010000000000000009,1.395,0.1645448267190433,0.3799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6550596395454549,Dy3(SiNi3)2
4,15.533333333333335,11.569308055752034,43.0,2.6073333333333335,1.0499870898677226,2.44,0.9793333333333334,0.6288133445007527,1.46,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.571501958544666,Ca3Mn2SbO9
2,18.0,10.0,20.0,2.675,0.7650000000000001,1.53,0.985,0.505,1.01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9322681956250004,NiO
3,26.0,0.0,0.0,1.83,0.0,0.0,1.5599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1384207337500006,ThScFe6
3,15.157894736842106,13.861203554847597,34.0,3.170526315789474,0.5218335455942623,1.2799999999999998,0.7789473684210526,0.578909089643635,1.42,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,-2.6049539242261908,Lu2Mo4O15
2,28.714285714285715,3.614031611621005,8.0,1.7585714285714285,0.08131571126147269,0.18000000000000016,1.46,0.15811388300841892,0.34999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,-0.2267190650000005,V2Ga5
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2187167224999999,HfRu3
4,10.6875,3.7285846845686637,16.0,2.393125,1.049176574450173,2.13,0.9812500000000001,0.5050788923524719,1.28,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.915228989270833,Mg14TiCrO16
3,17.400000000000002,16.87127736717051,43.0,2.7359999999999998,0.893411439371581,2.13,0.8440000000000001,0.44741926646044206,0.97,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1017445719444448,Mg(SbO3)2
2,30.0,0.0,0.0,1.6499999999999997,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.3392405681249997,SmZn3
3,26.500000000000004,32.04293994002423,74.0,3.1625,0.4806440991003634,1.1099999999999999,0.7450000000000001,0.45899346400575247,1.06,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.859286900750001,ZrPbO3
5,17.272727272727273,7.652580183903621,21.0,2.3445454545454547,0.8474921682273008,1.9,1.1772727272727272,0.5675159734891073,1.28,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.725312658968255,Ti3Cr2Cu(PO4)6
3,13.0,8.660254037844387,20.0,3.0575,0.6625094338950955,1.53,0.7324999999999999,0.4373428289111415,1.01,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401542145916667,TbNiO3
3,9.75,3.0310889132455348,7.0,3.1275,0.5412658773652742,1.25,0.605,0.21650635094610965,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.003403064052198,Pr(PO3)3
4,10.636363636363637,6.371423806521902,25.0,2.8499999999999996,0.8360295775542003,2.46,0.7709090909090909,0.4269650729904251,1.19,0.0,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.231582188457793,LiNiP2O7
