,gap_expt,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,mean_row,mean_group,mean_atomic_mass,mean_atomic_radius,mean_boiling_point,mean_melting_point,mean_MendeleevNumber,mean_AtomicWeight,mean_MeltingT,mean_CovalentRadius,mean_Electronegativity,mean_NsValence,mean_NpValence,MagpieData mean NdValence,mean_NfValence,mean_NValence,mean_NsUnfilled,mean_NpUnfilled,mean_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,mean_GSvolume_pa,mean_GSbandgap,mean_GSmagmom,mean_SpaceGroupNumber
0,0.0,2.0,16.0,-0.261676,2.0,16.0,-0.261676,0.0,4.6,13.0,113.1862676,1.2600000000000002,2025.748,937.2620000000001,74.6,113.1862676,937.2620000000001,125.4,2.434,1.4,1.6,6.0,5.6,14.6,0.6,0.8,0.0,0.0,1.4,20.260749999999998,0.8808,0.0,163.0
1,0.0,3.0,74.0,-0.220603,3.0,74.0,-0.220603,0.0,4.619047619047619,13.571428571428571,110.93162857142856,1.2285714285714284,2002.4285714285713,1291.7204761904763,81.0,110.93162857142856,1291.7204761904763,133.1904761904762,2.7395238095238095,1.9523809523809523,3.3333333333333335,8.285714285714286,4.0,17.571428571428573,0.047619047619047616,0.6666666666666666,1.7142857142857142,0.0,2.4285714285714284,25.01666666666667,0.9713333333333333,0.0,118.80952380952381
2,1.83,2.0,16.0,-0.261676,2.0,16.0,-0.261676,0.0,4.0,14.89655172413793,85.16332413793103,1.2689655172413792,1478.686896551724,611.4996551724139,83.48275862068965,85.16332413793103,611.4996551724139,119.72413793103448,2.3962068965517243,1.9310344827586208,2.9655172413793105,4.482758620689655,3.3793103448275863,12.758620689655173,0.06896551724137931,2.6206896551724137,0.0,0.0,2.689655172413793,25.311724137931034,1.2677241379310344,0.0,139.48275862068965
3,1.51,2.0,34.0,-0.245806,2.0,34.0,-0.245806,0.0,4.551724137931035,14.89655172413793,111.03642758620688,1.3517241379310343,1611.1724137931035,669.7837931034484,84.03448275862068,111.03642758620688,669.7837931034484,128.0,2.3796551724137927,1.9310344827586208,2.9655172413793105,10.0,3.3793103448275863,18.275862068965516,0.06896551724137931,2.6206896551724137,0.0,0.0,2.689655172413793,25.385172413793107,0.49365517241379314,0.0,108.58620689655173
4,0.0,1.0,47.0,-0.157407,1.0,47.0,-0.157407,0.0,4.0,13.0,76.61285000000001,1.2999999999999998,2350.5,1271.1650000000002,74.25,76.61285000000001,1270.9150000000002,123.5,2.215,1.5,1.5,7.5,0.0,10.5,0.5,1.5,0.0,0.0,2.0,17.328125,0.74525,0.0,170.0
5,0.0,3.0,47.0,-0.298706,3.0,47.0,-0.298706,0.0,3.6666666666666665,14.166666666666666,78.78583333333334,1.1,1162.9333333333334,529.7766666666668,79.5,78.78583333333334,529.7766666666668,106.0,2.6999999999999997,1.6666666666666667,2.5,5.0,2.3333333333333335,11.5,0.3333333333333333,1.5,0.0,0.0,1.8333333333333333,15.487499999999999,0.0,0.0,83.0
6,1.98,2.0,16.0,-0.261676,2.0,16.0,-0.261676,0.0,3.8333333333333335,14.0,64.09523333333333,1.2416666666666667,1686.1016666666667,807.7233333333334,78.83333333333333,64.09523333333333,807.7233333333334,120.83333333333333,2.268333333333333,1.6666666666666667,2.3333333333333335,5.0,0.0,9.0,0.3333333333333333,1.6666666666666667,0.0,0.0,2.0,22.170937499999997,1.1648333333333334,0.0,147.5
7,0.9,2.0,34.0,-0.245806,2.0,34.0,-0.245806,0.0,4.333333333333333,14.0,87.54273333333333,1.3166666666666667,1806.1666666666667,860.5433333333334,79.33333333333333,87.54273333333333,860.5433333333334,128.33333333333334,2.2533333333333334,1.6666666666666667,2.3333333333333335,10.0,0.0,14.0,0.3333333333333333,1.6666666666666667,0.0,0.0,2.0,22.2375,0.4633333333333334,0.0,119.5
8,2.47,2.0,53.0,-0.267904,1.0,80.0,-0.205137,0.06276699999999996,5.142857142857143,14.571428571428571,131.99204,1.4714285714285715,1047.0685714285714,607.3685714285714,83.57142857142857,131.99204,607.3685714285714,139.71428571428572,2.357142857142857,1.7142857142857142,2.857142857142857,10.0,2.0,16.571428571428573,0.2857142857142857,0.5714285714285714,0.0,0.0,0.8571428571428571,32.85108374384286,0.6068571428571429,0.0,124.57142857142857
9,3.06,3.0,47.0,-0.298706,2.0,53.0,-0.267904,0.03080200000000005,3.0,15.238095238095237,49.68028,0.888095238095238,613.0666666666666,365.7361904761905,84.85714285714286,49.68123238095239,365.7361904761905,91.61904761904762,3.0866666666666664,1.8571428571428572,3.619047619047619,3.0952380952380953,0.0,8.571428571428571,0.14285714285714285,1.5238095238095237,0.23809523809523808,0.0,1.9047619047619047,16.565714285714286,0.2022857142857143,0.0,52.523809523809526
10,0.0,3.0,47.0,-0.298706,3.0,47.0,-0.298706,0.0,3.0,14.833333333333334,49.739977,0.9333333333333332,718.6166666666667,340.7225,82.16666666666667,49.739977,340.7225,92.66666666666667,2.8874999999999997,1.8333333333333333,3.0,2.5,1.1666666666666667,8.5,0.16666666666666666,2.0,0.0,0.0,2.1666666666666665,14.137123015866665,0.2708333333333333,0.0,63.583333333333336
